Method,Dataset,Accuracy (R@1),Accuracy (R@5),Accuracy (R@10),Extraction Latency CPU (ms),Extraction Latency GPU (ms),Matching Latency (ms),Model Memory (MB),DB Memory (MB)
CosPlaces-D1024,SVOX-rain,85.70,92.96,94.88,,3.29,3.37,97.88,67.05
CosPlaces-D1024,SVOX-snow,90.11,96.90,97.36,,3.39,3.30,97.88,67.05
CosPlaces-D1024,SVOX-overcast,90.48,96.22,96.79,,3.24,3.02,97.88,67.05
CosPlaces-D1024,SVOX-night,45.44,63.30,69.50,,3.54,3.40,97.88,67.05
CosPlaces-D1024,MSLS,84.07,90.67,92.28,,3.35,3.83,97.88,73.71
CosPlaces-D1024,Pitts30k,90.71,95.32,96.27,,3.54,1.96,97.88,39.06
CosPlaces-D1024,Essex3in1,83.81,97.62,98.57,,3.43,0.02,97.88,0.82
CosPlaces-D1024,Tokyo247,82.22,91.43,94.92,,3.40,15.39,97.88,296.81
CosPlaces-D1024,Nordland,45.51,61.59,67.75,,3.41,4.96,97.88,107.78
CosPlaces-D1024,SPED,100.00,100.00,100.00,,3.28,0.06,97.88,2.37
CosPlaces-D2048,SVOX-sun,76.35,88.64,92.15,,3.37,6.88,105.89,134.11
CosPlaces-D2048,SVOX-rain,85.38,94.13,96.16,,3.33,6.87,105.89,134.11
CosPlaces-D2048,SVOX-snow,90.23,98.28,98.28,,3.34,7.40,105.89,134.11
CosPlaces-D2048,SVOX-overcast,91.40,97.36,98.28,,3.30,5.81,105.89,134.11
CosPlaces-D2048,SVOX-night,49.57,66.59,73.63,,3.34,6.89,105.89,134.11
CosPlaces-D2048,MSLS,84.13,90.45,92.32,,3.31,7.48,105.89,147.43
CosPlaces-D2048,Pitts30k,90.82,95.44,96.43,,3.47,3.96,105.89,78.12
CosPlaces-D2048,Essex3in1,84.29,98.57,99.52,,3.32,0.05,105.89,1.64
CosPlaces-D2048,Tokyo247,82.54,90.48,93.97,,3.35,31.57,105.89,593.62
CosPlaces-D2048,Nordland,45.43,61.78,67.50,,3.30,9.82,105.89,215.56
CosPlaces-D2048,SPED,100.00,100.00,100.00,,3.43,0.13,105.89,4.74
DinoV2-BoQ,SVOX-sun,97.54,99.41,99.41,,9.10,41.63,363.18,804.66
DinoV2-BoQ,SVOX-rain,98.83,99.68,99.79,,9.22,41.18,363.18,804.66
DinoV2-BoQ,SVOX-snow,99.43,99.66,99.89,,9.47,43.29,363.18,804.66
DinoV2-BoQ,SVOX-overcast,98.51,99.31,99.43,,9.38,37.28,363.18,804.66
DinoV2-BoQ,SVOX-night,97.21,99.51,99.88,,9.47,42.88,363.18,804.66
DinoV2-BoQ,MSLS,89.94,94.28,95.49,,9.18,47.79,363.18,884.58
DinoV2-BoQ,Pitts30k,93.69,97.02,97.90,,9.53,24.27,363.18,937.50
DinoV2-BoQ,Essex3in1,90.95,99.52,100.00,,9.22,0.28,363.18,19.69
DinoV2-BoQ,Tokyo247,96.51,98.10,98.73,,9.59,183.42,363.18,3561.75
DinoV2-BoQ,Nordland,81.34,92.50,94.75,,9.42,58.52,363.18,1293.38
DinoV2-BoQ,SPED,100.00,100.00,100.00,,9.16,1.00,363.18,28.45
EigenPlaces-D128,SVOX-sun,67.33,80.91,86.18,,3.38,0.18,90.88,8.38
EigenPlaces-D128,SVOX-rain,82.92,92.32,94.77,,3.43,0.18,90.88,8.38
EigenPlaces-D128,SVOX-snow,89.08,96.90,97.82,,3.25,0.18,90.88,8.38
EigenPlaces-D128,SVOX-overcast,89.91,95.76,96.44,,3.25,0.18,90.88,8.38
EigenPlaces-D128,SVOX-night,29.65,50.30,58.20,,3.32,0.18,90.88,8.38
EigenPlaces-D128,MSLS,81.00,87.83,90.01,,3.35,0.19,90.88,9.21
EigenPlaces-D128,Pitts30k,90.04,95.50,96.63,,3.31,0.11,90.88,4.88
EigenPlaces-D128,Essex3in1,86.19,97.62,99.05,,3.34,0.00,90.88,0.10
EigenPlaces-D128,Tokyo247,74.60,87.62,91.75,,3.35,1.80,90.88,37.10
EigenPlaces-D128,Nordland,30.14,46.16,52.39,,3.23,0.28,90.88,13.47
EigenPlaces-D128,SPED,100.00,100.00,100.00,,3.24,0.01,90.88,0.30
EigenPlaces-D256,SVOX-sun,76.11,88.64,92.27,,3.33,0.39,91.88,16.76
EigenPlaces-D256,SVOX-rain,85.27,94.02,95.30,,3.32,0.39,91.88,16.76
EigenPlaces-D256,SVOX-snow,90.69,97.24,97.82,,3.31,0.40,91.88,16.76
EigenPlaces-D256,SVOX-overcast,91.51,96.22,97.48,,3.32,0.38,91.88,16.76
EigenPlaces-D256,SVOX-night,42.53,61.48,70.11,,3.35,0.44,91.88,16.76
EigenPlaces-D256,MSLS,83.10,89.81,91.58,,3.31,0.46,91.88,18.43
EigenPlaces-D256,Pitts30k,91.27,95.72,97.02,,3.32,0.21,91.88,9.77
EigenPlaces-D256,Essex3in1,87.14,98.57,99.05,,3.35,0.01,91.88,0.21
EigenPlaces-D256,Tokyo247,78.73,88.89,92.38,,3.39,3.81,91.88,74.20
EigenPlaces-D256,Nordland,39.57,54.67,60.65,,3.21,0.93,91.88,26.95
EigenPlaces-D256,SPED,100.00,100.00,100.00,,3.48,0.02,91.88,0.59
EigenPlaces-D512,SVOX-sun,79.86,92.62,95.08,,3.37,1.46,93.88,33.53
EigenPlaces-D512,SVOX-rain,88.47,95.30,96.69,,3.35,1.72,93.88,33.53
EigenPlaces-D512,SVOX-snow,91.03,97.59,98.05,,3.36,1.50,93.88,33.53
EigenPlaces-D512,SVOX-overcast,92.09,97.36,97.94,,3.24,1.26,93.88,33.53
EigenPlaces-D512,SVOX-night,53.71,73.03,80.19,,3.33,1.49,93.88,33.53
EigenPlaces-D512,MSLS,84.88,91.07,92.70,,3.36,1.83,93.88,36.86
EigenPlaces-D512,Pitts30k,92.06,96.42,97.34,,3.36,0.50,93.88,19.53
EigenPlaces-D512,Essex3in1,88.57,99.05,99.05,,3.32,0.01,93.88,0.41
EigenPlaces-D512,Tokyo247,83.49,92.06,95.24,,3.35,7.58,93.88,148.41
EigenPlaces-D512,Nordland,46.20,61.56,67.64,,3.28,2.46,93.88,53.89
EigenPlaces-D512,SPED,100.00,100.00,100.00,,3.25,0.03,93.88,1.19
EigenPlaces-D2048,SVOX-sun,86.07,94.15,96.14,,3.34,7.02,105.89,134.11
EigenPlaces-D2048,SVOX-rain,88.15,95.41,97.12,,3.34,6.96,105.89,134.11
EigenPlaces-D2048,SVOX-snow,91.38,97.59,98.16,,3.47,6.82,105.89,134.11
EigenPlaces-D2048,SVOX-overcast,92.43,97.25,98.05,,3.25,6.35,105.89,134.11
EigenPlaces-D2048,SVOX-night,59.05,77.04,82.50,,3.44,6.88,105.89,134.11
EigenPlaces-D2048,MSLS,85.56,91.15,92.73,,3.36,7.62,105.89,147.43
EigenPlaces-D2048,Pitts30k,92.69,96.70,97.56,,3.40,3.97,105.89,78.12
EigenPlaces-D2048,Essex3in1,89.05,98.57,99.52,,3.40,0.05,105.89,1.64
EigenPlaces-D2048,Tokyo247,86.67,93.65,95.87,,3.41,30.22,105.89,593.62
EigenPlaces-D2048,Nordland,46.92,61.41,66.20,,3.22,10.12,105.89,215.56
EigenPlaces-D2048,SPED,100.00,100.00,100.00,,3.23,0.13,105.89,4.74
MixVPR,SVOX-sun,85.25,93.09,94.85,,2.86,12.89,41.62,268.22
MixVPR,SVOX-rain,92.21,97.12,98.08,,2.95,13.49,41.62,268.22
MixVPR,SVOX-snow,97.01,98.28,98.74,,2.95,12.72,41.62,268.22
MixVPR,SVOX-overcast,96.33,98.51,99.08,,3.01,12.14,41.62,268.22
MixVPR,SVOX-night,63.30,78.74,83.11,,2.98,12.82,41.62,268.22
MixVPR,MSLS,83.27,89.98,91.93,,3.05,13.42,41.62,294.86
MixVPR,Pitts30k,91.49,95.50,96.36,,3.00,7.02,41.62,156.25
MixVPR,Essex3in1,88.57,100.00,100.00,,2.97,0.09,41.62,3.28
MixVPR,Tokyo247,86.67,93.02,94.60,,3.03,52.36,41.62,1187.25
MixVPR,Nordland,54.17,70.04,74.86,,3.01,19.36,41.62,431.12
MixVPR,SPED,100.00,100.00,100.00,,2.91,0.26,41.62,9.48
ResNet50-BoQ,SVOX-sun,95.78,98.83,98.95,,3.87,55.78,91.08,1072.88
ResNet50-BoQ,SVOX-rain,96.16,99.47,99.68,,3.86,55.76,91.08,1072.88
ResNet50-BoQ,SVOX-snow,98.74,99.54,99.66,,3.88,54.59,91.08,1072.88
ResNet50-BoQ,SVOX-overcast,97.82,99.20,99.31,,4.04,47.41,91.08,1072.88
ResNet50-BoQ,SVOX-night,87.12,94.41,96.11,,3.94,55.34,91.08,1072.88
ResNet50-BoQ,MSLS,87.72,93.00,94.61,,3.89,61.00,91.08,1179.44
ResNet50-BoQ,Pitts30k,92.43,96.49,97.40,,3.88,32.89,91.08,1250.00
ResNet50-BoQ,Essex3in1,93.33,100.00,100.00,,3.83,0.37,91.08,26.25
ResNet50-BoQ,Tokyo247,91.43,96.19,96.83,,3.80,242.13,91.08,4749.00
ResNet50-BoQ,Nordland,70.69,83.99,87.50,,3.78,77.46,91.08,1724.50
ResNet50-BoQ,SPED,100.00,100.00,100.00,,3.69,1.60,91.08,37.94
DinoV2-Salad-INT8,Pitts30k,82.60,92.08,94.15,,14.92,16.97,87.67,322.27
DinoV2-Salad-INT8,MSLS,62.87,74.28,77.90,,15.19,30.80,87.67,608.15
DinoV2-Salad-INT8,Tokyo247,56.83,73.97,82.86,,16.17,124.37,87.67,2448.70
DinoV2-Salad-INT8,SVOX-sun,30.91,44.15,49.53,,15.37,29.17,87.67,553.20
DinoV2-Salad-INT8,SVOX-rain,45.78,62.22,67.13,,15.04,28.51,87.67,553.20
DinoV2-Salad-INT8,SVOX-night,10.09,19.32,24.18,,15.18,30.49,87.67,553.20
DinoV2-Salad-INT8,SVOX-snow,58.39,74.48,80.11,,14.70,30.61,87.67,553.20
DinoV2-BoQ-INT8,Essex3in1,68.57,90.95,96.19,,16.63,0.28,102.35,9.84
DinoV2-BoQ-INT8,Pitts30k,81.48,91.07,93.52,,16.76,24.08,102.35,468.75
DinoV2-BoQ-INT8,MSLS,62.61,73.05,76.16,,17.19,47.73,102.35,884.58
DinoV2-BoQ-INT8,SVOX-sun,26.58,42.86,49.06,,17.29,41.35,102.35,804.66
EigenPlaces-D2048-INT8,MSLS,84.42,90.20,91.87,,9.09,7.68,26.89,147.43
EigenPlaces-D2048-INT8,SVOX-sun,75.53,86.89,90.75,,9.22,7.01,26.89,134.11
CosPlaces-D2048-INT8,MSLS,83.39,90.07,91.76,,8.93,7.87,26.89,147.43
CosPlaces-D2048-INT8,SVOX-sun,69.56,82.32,87.12,,9.02,7.60,26.89,134.11
ResNet50-BoQ-INT8,MSLS,87.01,92.36,93.89,,10.80,60.71,36.80,1179.44
ResNet50-BoQ-INT8,SVOX-sun,93.56,97.07,98.13,,10.74,54.87,36.80,1072.88
DinoV2-Salad-INT8,Essex3in1,74.29,95.71,99.05,,15.42,0.20,87.67,6.77
DinoV2-BoQ-INT8,SVOX-rain,37.35,56.35,63.61,,16.43,43.56,102.35,804.66
DinoV2-BoQ-INT8,SVOX-night,4.50,10.81,14.58,,16.48,41.47,102.35,804.66
DinoV2-BoQ-INT8,SVOX-snow,47.36,62.41,67.93,,16.88,43.46,102.35,804.66
EigenPlaces-D2048-INT8,Essex3in1,90.48,98.10,100.00,,9.12,0.05,26.89,1.64
EigenPlaces-D2048-INT8,Pitts30k,91.51,95.99,97.08,,9.00,4.61,26.89,78.12
EigenPlaces-D2048-INT8,SVOX-rain,84.95,93.81,95.84,,9.25,6.91,26.89,134.11
EigenPlaces-D2048-INT8,SVOX-night,49.82,68.53,75.46,,9.09,7.02,26.89,134.11
EigenPlaces-D2048-INT8,SVOX-snow,89.31,95.63,96.90,,9.02,7.08,26.89,134.11
CosPlaces-D2048-INT8,Essex3in1,88.57,98.10,99.05,,9.23,0.05,26.89,1.64
CosPlaces-D2048-INT8,Pitts30k,86.93,93.75,95.29,,9.11,3.93,26.89,78.12
CosPlaces-D2048-INT8,SVOX-rain,83.99,93.17,94.88,,8.96,7.54,26.89,134.11
CosPlaces-D2048-INT8,SVOX-night,43.13,59.30,67.19,,9.51,6.89,26.89,134.11
CosPlaces-D2048-INT8,Tokyo247,87.30,92.70,95.24,,9.06,31.48,26.89,593.62
CosPlaces-D2048-INT8,SVOX-snow,87.47,96.44,97.47,,9.03,7.02,26.89,134.11
EigenPlaces-D2048-INT8,Tokyo247,87.30,93.65,95.56,,9.47,31.26,26.89,593.62
DinoV2-BoQ-INT8,Tokyo247,54.60,67.94,72.38,,16.46,183.08,102.35,3561.75
ResNet50-BoQ-INT8,Essex3in1,94.76,100.00,100.00,,10.81,0.46,36.80,13.12
ResNet50-BoQ-INT8,Pitts30k,92.11,95.94,96.85,,10.76,32.02,36.80,625.00
ResNet50-BoQ-INT8,Tokyo247,90.79,95.87,96.83,,10.80,250.97,36.80,4749.00
ResNet50-BoQ-INT8,SVOX-rain,95.41,99.15,99.57,,10.71,55.84,36.80,1072.88
ResNet50-BoQ-INT8,SVOX-night,77.76,87.24,89.55,,10.69,57.02,36.80,1072.88
ResNet50-BoQ-INT8,SVOX-snow,95.17,97.93,98.85,,11.55,53.38,36.80,1072.88
TeTRA-SALAD-DD[4],Tokyo247,81.90,91.75,93.97,,14.02,1.22,54.73,20.87
TeTRA-SALAD-DD[8],Tokyo247,75.24,90.79,94.92,,13.98,0.87,54.68,11.30
TeTRA-MixVPR-DD[4],Tokyo247,76.19,89.84,93.02,,13.86,0.67,58.87,9.28
TeTRA-MixVPR-DD[8],Tokyo247,69.21,83.17,88.57,,13.46,0.16,58.50,4.64
TeTRA-BoQ-DD[4],Tokyo247,88.25,94.60,95.56,,16.14,1.86,103.40,27.83
TeTRA-BoQ-DD[8],Tokyo247,84.13,92.38,93.97,,14.69,0.90,103.39,13.91
